Nombre,1-2,3-4,5-6,7-8,9-10,11-12,13-14,15-16,17-18,19-20
K100,-,-,-,-,x,x,-,-,-,-
K101,x,x,-,-,x,x,-,-,-,-
K102,-,x,x,-,x,-,-,-,-,-
K103,-,-,-,-,-,-,-,-,-,-
K104,-,-,-,-,-,-,-,-,-,-
K105,-,-,-,-,-,-,-,-,-,-
K200,x,-,-,-,x,x,-,-,-,-
K201,-,x,x,-,x,-,-,-,-,-
K202,-,x,x,-,x,-,-,-,-,-
K203,-,-,-,-,-,-,-,-,-,-
K204,-,-,-,-,-,-,-,-,-,-
K205,-,-,-,-,-,-,-,-,-,-
K300,x,-,x,-,x,-,-,-,-,-
K301,x,x,x,-,x,-,-,-,-,-
K302,x,x,-,-,x,-,-,-,-,-
K303,x,x,x,-,-,-,-,-,-,-
K304,-,-,-,-,-,-,-,-,-,-
K305,-,-,-,-,-,-,-,-,-,-
